Product_ID,Category,Price,Units_Sold,Store_ID,Customer_Age,Customer_Gender,Discount_Applied,Purchase_Date,Satisfaction_Score
1,Food,350.59,48,12,40,Male,5,2022-01-01,2
2,Furniture,270.37,66,16,56,Male,5,2022-01-02,2
3,Electronics,158.22,70,1,34,Female,0,2022-01-03,3
4,Food,407.83,28,3,51,Male,5,2022-01-04,5
5,Food,343.94,93,20,58,Male,20,2022-01-05,5
6,Furniture,85.5,26,2,46,Male,0,2022-01-06,2
7,Electronics,455.91,25,9,26,Female,20,2022-01-07,5
8,Electronics,412.16,12,19,30,Female,5,2022-01-08,2
9,Food,475.15,5,15,23,Female,0,2022-01-09,5
10,Clothing,364.23,98,18,23,Male,5,2022-01-10,1
11,Food,308.64,48,11,37,Female,0,2022-01-11,2
12,Food,212.03,37,16,69,Female,5,2022-01-12,2
13,Food,466.7,79,17,20,Female,20,2022-01-13,4
14,Food,433.7,44,5,34,Male,20,2022-01-14,5
15,Furniture,27.38,15,12,66,Female,5,2022-01-15,5
16,Electronics,18.05,43,11,29,Male,0,2022-01-16,2
17,Furniture,191.35,48,15,65,Male,10,2022-01-17,1
18,Furniture,406.22,87,3,64,Female,20,2022-01-18,1
19,Furniture,493.7,70,1,62,Male,20,2022-01-19,1
20,Food,79.46,46,20,18,Female,10,2022-01-20,5
21,Clothing,299.09,43,16,34,Male,5,2022-01-21,4
22,Electronics,193.54,21,2,20,Female,0,2022-01-22,2
23,Clothing,485.11,23,2,43,Female,5,2022-01-23,3
24,Furniture,421.85,80,3,32,Female,30,2022-01-24,4
25,Furniture,419.97,47,8,53,Male,20,2022-01-25,3
26,Clothing,237.0,15,15,49,Female,30,2022-01-26,4
27,Clothing,210.34,25,7,49,Male,20,2022-01-27,1
28,Clothing,140.34,36,6,21,Female,20,2022-01-28,5
29,Furniture,32.91,75,9,35,Male,30,2022-01-29,3
30,Furniture,433.04,51,20,66,Male,30,2022-01-30,4
31,Electronics,407.39,15,1,36,Female,5,2022-01-31,5
32,Electronics,499.86,68,8,60,Female,30,2022-02-01,3
33,Furniture,498.34,21,3,69,Female,5,2022-02-02,2
34,Clothing,279.94,13,4,52,Female,5,2022-02-03,4
35,Clothing,385.65,86,15,57,Female,5,2022-02-04,2
36,Electronics,472.66,19,6,31,Male,20,2022-02-05,1
37,Furniture,425.58,34,15,50,Female,20,2022-02-06,2
38,Electronics,127.44,78,3,31,Female,30,2022-02-07,2
39,Electronics,228.02,68,14,51,Male,20,2022-02-08,4
40,Food,68.93,52,20,21,Female,30,2022-02-09,1
41,Food,477.26,27,14,41,Female,20,2022-02-10,2
42,Food,305.06,29,4,46,Male,0,2022-02-11,5
43,Clothing,118.18,28,12,36,Female,0,2022-02-12,3
44,Furniture,337.49,35,17,23,Female,30,2022-02-13,2
45,Furniture,310.97,8,7,50,Female,20,2022-02-14,1
46,Furniture,182.29,16,9,66,Male,20,2022-02-15,2
47,Furniture,61.21,36,3,57,Female,5,2022-02-16,3
48,Food,337.43,30,13,36,Male,10,2022-02-17,1
49,Clothing,262.55,18,15,18,Female,30,2022-02-18,4
50,Clothing,387.3,2,18,22,Male,10,2022-02-19,1
51,Food,262.48,49,19,44,Female,10,2022-02-20,4
52,Clothing,426.83,77,1,33,Male,30,2022-02-21,1
53,Food,278.19,4,6,23,Male,20,2022-02-22,3
54,Furniture,282.66,90,2,57,Male,30,2022-02-23,3
55,Food,438.94,89,14,30,Male,10,2022-02-24,1
56,Furniture,204.72,94,6,65,Male,20,2022-02-25,2
57,Furniture,71.34,75,14,52,Male,0,2022-02-26,3
58,Electronics,19.25,7,4,36,Female,30,2022-02-27,4
59,Food,378.79,95,8,29,Female,30,2022-02-28,4
60,Electronics,312.05,74,3,33,Male,20,2022-03-01,5
61,Food,353.52,39,19,60,Male,0,2022-03-02,4
62,Food,110.42,13,14,27,Male,0,2022-03-03,5
63,Electronics,72.5,31,20,42,Male,20,2022-03-04,1
64,Electronics,12.2,71,17,37,Female,5,2022-03-05,1
65,Food,178.54,63,8,48,Male,30,2022-03-06,1
66,Clothing,297.01,56,14,21,Female,30,2022-03-07,2
67,Furniture,199.16,42,6,61,Female,10,2022-03-08,2
68,Electronics,221.55,61,16,40,Male,20,2022-03-09,5
69,Furniture,452.56,42,19,19,Male,10,2022-03-10,4
70,Clothing,177.39,56,14,39,Female,10,2022-03-11,4
71,Clothing,259.42,36,19,68,Female,0,2022-03-12,1
72,Clothing,392.91,84,3,54,Male,30,2022-03-13,3
73,Electronics,201.29,68,10,25,Male,10,2022-03-14,2
74,Clothing,312.93,7,19,24,Male,0,2022-03-15,2
75,Electronics,431.87,54,9,31,Female,20,2022-03-16,1
76,Clothing,475.01,1,20,20,Female,10,2022-03-17,2
77,Furniture,77.8,44,13,67,Male,30,2022-03-18,1
78,Furniture,463.66,45,7,33,Female,10,2022-03-19,5
79,Food,248.6,47,14,36,Female,20,2022-03-20,4
80,Furniture,132.83,13,9,68,Male,10,2022-03-21,3
81,Food,232.27,22,19,35,Male,30,2022-03-22,4
82,Furniture,490.12,21,15,69,Female,0,2022-03-23,4
83,Electronics,248.85,86,20,33,Female,30,2022-03-24,5
84,Furniture,167.73,92,14,25,Male,0,2022-03-25,2
85,Food,318.53,9,6,50,Male,5,2022-03-26,3
86,Food,123.87,26,4,66,Male,30,2022-03-27,2
87,Clothing,42.55,9,8,29,Male,30,2022-03-28,4
88,Electronics,68.8,15,17,28,Male,20,2022-03-29,1
89,Furniture,68.38,10,9,22,Female,10,2022-03-30,4
90,Clothing,80.19,88,1,44,Female,0,2022-03-31,2
91,Furniture,73.72,42,20,29,Female,0,2022-04-01,4
92,Furniture,322.23,72,14,34,Female,20,2022-04-02,1
93,Clothing,95.03,24,11,23,Male,20,2022-04-03,5
94,Clothing,176.11,80,3,50,Male,10,2022-04-04,2
95,Clothing,448.91,49,9,22,Male,10,2022-04-05,4
96,Clothing,239.61,26,14,45,Female,30,2022-04-06,2
97,Clothing,335.44,91,9,31,Female,5,2022-04-07,5
98,Furniture,90.3,37,4,22,Female,10,2022-04-08,4
99,Clothing,100.18,68,4,50,Male,20,2022-04-09,4
100,Electronics,25.23,50,8,67,Female,10,2022-04-10,2
101,Food,88.62,24,2,65,Male,0,2022-04-11,2
102,Clothing,142.9,19,9,58,Male,5,2022-04-12,1
103,Clothing,92.62,60,14,36,Male,30,2022-04-13,5
104,Furniture,48.91,39,9,39,Male,0,2022-04-14,1
105,Clothing,64.71,74,16,22,Male,0,2022-04-15,4
106,Clothing,233.09,89,17,19,Male,5,2022-04-16,2
107,Clothing,107.14,18,16,47,Female,30,2022-04-17,4
108,Furniture,185.31,19,12,64,Male,20,2022-04-18,4
